RHA_Year,Agricultural_use,Aquacultural_use,Availability,DBO5_contaminated,Domestic_use,DQO_contaminated,Industrial_use,Livestock_use,Multiple_use,PIB,Population_density,Public_urban_use,Rainfall,Runoff,Services_use,SST_contaminated,Temperature,Water_stress,Water_stress_lagged
Península de Baja California_2006,5254.03,2.99,4600,13.4,1.77,66.6,143.57,13.42,489.87,4.22,22.570861880100335,654.58,210.5,3367,26.8,0.0,21.819809890277476,75.94,86.33
Península de Baja California_2007,5265.97,2.99,4616,7.7,1.78,0.0,145.95,13.59,496.13,3.9012500000000006,23.211655507230407,652.95,136.0,3367,30.12,12.5,21.292209499719142,75.91,75.94
Península de Baja California_2008,5268.32,2.99,4626,16.7,1.83,68.8,146.41,13.96,500.07,3.9012500000000006,23.85412791112206,653.07,225.5,3367,35.56,3.4,21.372551127001557,75.88,75.91
Península de Baja California_2009,5245.8,2.99,4667,18.1,1.64,81.9,147.39,13.79,494.53,3.51,24.51409459485737,492.59,170.5,3367,42.71,7.5,21.605691429960693,73.28,75.88
Península de Baja California_2010,5741.13,3.07,5021,23.9,1.73,76.2,148.51,14.13,500.71,3.5999999999999996,26.035947860693938,863.12,203.0,3434,41.84,1.9,21.247264687650055,76.8,73.28
Península de Baja California_2011,5746.03,3.07,4999,30.8,1.75,77.8,148.51,14.34,504.79,3.69,26.80093855936323,863.12,138.0,3341,42.39,0.0,20.788630818863794,77.24,76.8
Península de Baja California_2012,5785.17,3.07,4999,23.5,1.64,69.39999999999999,148.51,14.04,511.24,3.64,27.29766850964811,884.43,228.0,3341,43.76,1.7,21.49375,77.92,77.24
Península de Baja California_2013,4834.64,3.07,4999,40.5,1.68,67.89999999999999,148.57,14.28,519.02,3.77,27.813163165434055,912.58,211.5,3341,42.89,3.4,22.037603019396684,68.7,77.92
Península de Baja California_2014,5853.14,3.07,4958,34.199999999999996,1.69,55.2,148.36,14.51,517.89,3.61,28.314171079667354,921.99,210.0,3300,44.8,5.0,23.487499999999997,79.64,68.7
Península de Baja California_2015,5821.26,3.07,4958,10.7,1.72,44.1,148.68,14.84,565.45,3.88,28.82204966327238,924.9,312.5,3300,44.81,4.2,22.65,79.84,79.64
Península de Baja California_2016,5806.58,3.07,4876,7.2,1.72,44.400000000000006,148.83,14.89,582.06,4.26,29.31825459070904,925.7,209.5,3218,44.1,2.2,22.975000000000005,81.2,79.84
